sample_id,user_id,overall,intonation,tone,timing,technique,rejected,timestamp
499e4ffc_5,Dominicers,,,,,,True,2025-12-10T14:47:50.649230
337d1d8f_18,Dominicers,3,4,4,2,4,False,2025-12-10T14:48:38.078157
98c36515_0,Dominicers,4,4,4,4,3,False,2025-12-10T14:49:33.520965
103760c9_14,Dominicers,,,,,,True,2025-12-10T14:49:41.996053
8ba4783c_0,Dominicers,,,,,,True,2025-12-10T14:49:47.164829
6693dc70_8,Dominicers,4,4,4,5,3,False,2025-12-10T14:50:57.172589
103760c9_10,Dominicers,4,4,5,5,4,False,2025-12-10T14:52:15.302249
8447dad3_8,Dominicers,4,4,4,5,4,False,2025-12-10T14:52:56.886626
05c9b2c6_4,Dominicers,2,2,2,1,1,False,2025-12-10T14:53:30.538123
570eaa61_8,Dominicers,4,5,4,5,4,False,2025-12-10T14:54:11.783906
3ced077e_34,Dominicers,,,,,,True,2025-12-10T14:54:25.094206
0af7df9b_17,Dominicers,2,3,2,1,1,False,2025-12-10T14:55:00.210636
73c40361_21,Dominicers,,,,,,True,2025-12-10T14:55:07.360129
13db7043_3,Dominicers,3,4,4,2,3,False,2025-12-10T14:55:36.759680
c734fdb8_3,Dominicers,,,,,,True,2025-12-10T14:55:45.108861
d134069e_15,Dominicers,5,5,5,5,4,False,2025-12-10T14:56:38.156394
c734fdb8_9,Dominicers,,,,,,True,2025-12-10T14:56:45.856102
e2bf9fb4_30,Dominicers,3,4,4,2,2,False,2025-12-10T14:57:07.966833
eaa19055_4,Dominicers,5,5,5,4,4,False,2025-12-10T14:58:03.727706
337d1d8f_11,Dominicers,4,4,4,4,4,False,2025-12-10T14:58:39.530615
aecb3945_17,Dominicers,5,5,5,5,4,False,2025-12-10T14:59:21.962714
13db7043_5,Dominicers,3,4,4,3,3,False,2025-12-10T14:59:44.127158
cf94ced3_8,Dominicers,4,4,4,4,4,False,2025-12-10T15:00:41.637409
5f792cf5_0,Dominicers,4,4,4,4,4,False,2025-12-10T15:01:11.696151
7728d41e_5,Dominicers,,,,,,True,2025-12-10T15:01:35.243674
488ea46a_0,Dominicers,5,5,5,5,4,False,2025-12-10T15:02:12.543071
1c10e3b7_21,Dominicers,2,4,4,1,1,False,2025-12-10T15:03:30.917429
c734fdb8_26,Dominicers,,,,,,True,2025-12-10T15:03:41.259602
80753fc3_2,Dominicers,4,5,4,3,4,False,2025-12-10T15:04:09.075696
bc679414_1,Dominicers,5,5,5,5,5,False,2025-12-10T15:04:25.460551
3ced077e_15,Dominicers,,,,,,True,2025-12-10T15:04:37.977120
499e4ffc_4,Dominicers,,,,,,True,2025-12-10T15:04:47.642034
fcc7433b_16,Dominicers,4,5,5,4,3,False,2025-12-10T15:05:16.479132
0af7df9b_0,Dominicers,5,5,5,4,4,False,2025-12-10T15:05:45.382734
8b993d14_17,Dominicers,,,,,,True,2025-12-10T15:06:54.393079
8447dad3_14,Dominicers,5,5,5,4,3,False,2025-12-10T15:07:19.669171
4ca22ca1_19,Dominicers,4,4,4,4,3,False,2025-12-10T15:07:56.993317
c734fdb8_21,Dominicers,4,4,4,4,3,False,2025-12-10T15:08:33.287624
337d1d8f_4,Dominicers,,,,,,True,2025-12-10T15:08:42.030722
5f792cf5_5,Dominicers,4,4,4,4,3,False,2025-12-10T15:09:10.159157
c734fdb8_41,Dominicers,5,5,4,5,5,False,2025-12-10T15:09:29.853357
3663ffcf_24,Dominicers,,,,,,True,2025-12-10T15:09:36.575455
77dbaa3e_25,Dominicers,5,5,5,5,5,False,2025-12-10T15:09:55.154948
c734fdb8_23,Dominicers,,,,,,True,2025-12-10T15:10:18.336039
73c40361_30,Dominicers,,,,,,True,2025-12-10T15:10:25.186872
648d870e_5,Dominicers,3,4,4,4,2,False,2025-12-10T15:13:15.313903
0af7df9b_4,Dominicers,2,4,4,4,2,False,2025-12-10T15:14:41.738044
ea7a0339_6,Dominicers,4,4,4,5,4,False,2025-12-10T15:15:27.120731
13db7043_6,Dominicers,3,4,4,2,4,False,2025-12-10T15:15:57.600496
f02a1cbc_0,Dominicers,2,2,2,2,1,False,2025-12-10T15:16:28.720245
8b993d14_2,Dominicers,5,5,5,5,5,False,2025-12-10T15:16:51.821570
4ca22ca1_23,Dominicers,3,4,4,2,3,False,2025-12-10T15:17:11.844973
c734fdb8_28,Dominicers,5,5,5,5,5,False,2025-12-10T15:19:12.548001
3663ffcf_8,Dominicers,,,,,,True,2025-12-10T15:20:40.181508
c734fdb8_43,Dominicers,,,,,,True,2025-12-10T15:21:15.914263
570eaa61_1,Dominicers,4,4,4,5,5,False,2025-12-10T15:21:42.351417
5d37668b_29,Dominicers,4,4,4,3,4,False,2025-12-10T15:22:21.150718
ea3c8639_0,Dominicers,5,5,5,5,5,False,2025-12-10T15:22:39.978589
a5d5e961_1,Dominicers,2,2,2,2,2,False,2025-12-10T15:23:02.157568
56ab2455_1,Dominicers,1,1,1,1,1,False,2025-12-10T15:23:18.529461
8f355ec0_15,Dominicers,4,4,4,4,4,False,2025-12-10T15:23:41.188604
fcc7433b_19,Dominicers,,,,,,True,2025-12-10T15:23:50.858430
be634a7c_15,Dominicers,4,4,4,4,2,False,2025-12-10T15:24:19.611376
6693dc70_2,Dominicers,4,5,5,5,4,False,2025-12-10T15:25:00.489730
4ca22ca1_7,Dominicers,4,4,3,4,4,False,2025-12-10T15:25:52.040410
ea3c8639_7,Dominicers,5,5,5,5,5,False,2025-12-10T15:26:07.837856
3663ffcf_11,Dominicers,,,,,,True,2025-12-10T15:26:14.839912
