sample_id,user_id,overall,intonation,tone,timing,technique,rejected,timestamp
6693dc70_7,adnan,4,3,5,5,3,False,2025-12-07T23:20:02.037585
6a09e010_6,adnan,3,2,2,4,4,False,2025-12-07T23:20:30.388607
ea7a0339_2,adnan,4,4,4,5,4,False,2025-12-07T23:20:55.266884
8b993d14_12,adnan,,,,,,True,2025-12-07T23:21:06.148692
226adac1_0,adnan,4,3,3,4,3,False,2025-12-07T23:21:58.925751
98c36515_0,adnan,2,1,3,4,2,False,2025-12-07T23:22:19.668405
8f355ec0_24,adnan,4,4,4,5,4,False,2025-12-07T23:22:40.217639
d134069e_1,adnan,3,3,4,3,4,False,2025-12-07T23:23:16.257465
aecb3945_29,adnan,,,,,,True,2025-12-07T23:23:20.533082
4ca22ca1_3,adnan,,,,,,True,2025-12-07T23:23:24.291828
8447dad3_4,adnan,4,4,4,3,2,False,2025-12-07T23:24:01.215385
8000ae14_0,adnan,4,4,3,5,5,False,2025-12-07T23:27:17.632628
3ced077e_33,adnan,,,,,,True,2025-12-07T23:27:27.824421
d134069e_12,adnan,2,2,3,4,3,False,2025-12-07T23:27:48.220002
ea3c8639_3,adnan,4,4,5,5,4,False,2025-12-07T23:28:21.409240
3663ffcf_14,adnan,,,,,,True,2025-12-07T23:28:31.741963
5f792cf5_9,adnan,2,2,3,4,2,False,2025-12-07T23:29:07.528369
e5af0aaa_0,adnan,2,2,3,3,2,False,2025-12-07T23:29:48.491001
c734fdb8_13,adnan,,,,,,True,2025-12-07T23:29:59.443627
fcc7433b_11,adnan,3,4,3,4,2,False,2025-12-07T23:30:39.724936
103760c9_3,adnan,,,,,,True,2025-12-07T23:30:48.406188
61f0dbb1_0,adnan,3,3,2,4,4,False,2025-12-07T23:31:19.456352
8447dad3_9,adnan,3,2,2,5,4,False,2025-12-07T23:31:49.340822
1c10e3b7_8,adnan,,,,,,True,2025-12-07T23:31:53.123118
7f4d9046_18,adnan,2,2,2,2,2,False,2025-12-07T23:32:32.185842
fcc7433b_13,adnan,,,,,,True,2025-12-07T23:32:36.453088
103760c9_9,adnan,3,3,4,5,3,False,2025-12-07T23:33:37.524003
e1a1909a_2,adnan,3,2,4,3,2,False,2025-12-07T23:34:02.046183
8447dad3_2,adnan,3,2,4,4,2,False,2025-12-07T23:34:36.402018
3663ffcf_20,adnan,,,,,,True,2025-12-07T23:36:07.868259
103760c9_34,adnan,3,3,3,5,3,False,2025-12-07T23:37:16.643016
4ca22ca1_14,adnan,3,2,2,1,2,False,2025-12-07T23:37:59.541123
7728d41e_8,adnan,,,,,,True,2025-12-07T23:38:05.682889
6a09e010_0,adnan,4,3,4,4,5,False,2025-12-07T23:38:38.801357
0af7df9b_1,adnan,3,2,2,4,4,False,2025-12-07T23:39:05.492676
d134069e_9,adnan,4,4,2,4,3,False,2025-12-07T23:39:40.521226
e2bf9fb4_5,adnan,2,1,1,4,3,False,2025-12-07T23:40:03.713978
c734fdb8_17,adnan,,,,,,True,2025-12-07T23:40:09.583001
488ea46a_8,adnan,,,,,,True,2025-12-07T23:40:14.934181
3ced077e_10,adnan,,,,,,True,2025-12-07T23:40:22.546873
aecb3945_19,adnan,2,4,4,4,3,False,2025-12-07T23:40:42.211555
aecb3945_63,adnan,,,,,,True,2025-12-07T23:40:51.666970
337d1d8f_0,adnan,,,,,,True,2025-12-07T23:41:11.694497
5d37668b_21,adnan,4,4,3,4,4,False,2025-12-07T23:41:40.083458
73c40361_25,adnan,2,2,1,3,1,False,2025-12-07T23:42:00.812294
80753fc3_9,adnan,3,3,2,4,3,False,2025-12-07T23:42:22.611376
d1a15fe5_1,adnan,4,2,4,5,5,False,2025-12-07T23:43:04.490394
80753fc3_16,adnan,3,2,2,3,2,False,2025-12-07T23:43:22.335809
5f792cf5_11,adnan,3,3,4,5,3,False,2025-12-07T23:44:36.380890
e2bf9fb4_9,adnan,2,3,1,5,3,False,2025-12-07T23:45:03.368594
73c40361_15,adnan,,,,,,True,2025-12-07T23:45:08.156741
1c10e3b7_7,adnan,,,,,,True,2025-12-07T23:45:40.641096
5f792cf5_3,adnan,3,4,4,5,3,False,2025-12-07T23:46:21.170316
3ea977b6_13,adnan,2,2,2,2,3,False,2025-12-07T23:46:46.741380
aecb3945_15,adnan,2,2,3,4,2,False,2025-12-07T23:47:03.272067
aecb3945_24,adnan,2,4,3,4,2,False,2025-12-07T23:47:22.110454
103760c9_0,adnan,3,4,4,4,4,False,2025-12-07T23:48:01.094547
7f4d9046_0,adnan,2,2,3,2,2,False,2025-12-07T23:48:25.980322
aecb3945_60,adnan,,,,,,True,2025-12-07T23:48:32.491882
8ab19718_6,adnan,,,,,,True,2025-12-07T23:48:35.811512
0af7df9b_0,adnan,4,2,4,4,3,False,2025-12-07T23:49:19.074361
6a09e010_19,adnan,2,2,3,3,4,False,2025-12-07T23:49:47.474184
4f38bc73_0,adnan,2,2,1,4,3,False,2025-12-07T23:50:08.442737
d134069e_2,adnan,4,4,3,4,4,False,2025-12-07T23:50:41.703552
77dbaa3e_23,adnan,4,4,4,5,5,False,2025-12-07T23:51:05.225868
6693dc70_5,adnan,3,2,4,5,4,False,2025-12-07T23:51:28.025805
aecb3945_36,adnan,3,3,3,4,4,False,2025-12-07T23:51:59.225598
103760c9_25,adnan,3,2,3,5,3,False,2025-12-07T23:52:31.311975
16942b49_10,adnan,3,2,4,3,2,False,2025-12-07T23:53:01.894532
16942b49_12,adnan,3,4,3,3,2,False,2025-12-07T23:53:39.711777
16942b49_15,adnan,3,3,2,4,3,False,2025-12-07T23:54:02.510268
c734fdb8_40,adnan,4,4,4,5,4,False,2025-12-07T23:54:32.674638
1c10e3b7_0,adnan,4,4,4,5,4,False,2025-12-07T23:55:09.034940
54fa4b86_0,adnan,4,3,5,3,4,False,2025-12-07T23:55:27.813392
ea7a0339_0,adnan,3,4,4,4,3,False,2025-12-07T23:55:51.468000
5d37668b_35,adnan,,,,,,True,2025-12-07T23:55:53.844103
4ca22ca1_1,adnan,4,4,4,2,2,False,2025-12-07T23:56:40.972660
96920d9d_0,adnan,2,2,1,2,1,False,2025-12-07T23:57:11.920893
a16b4b27_2,adnan,3,4,4,5,4,False,2025-12-07T23:57:47.138967
8b993d14_5,adnan,4,3,5,5,5,False,2025-12-07T23:58:03.555254
5f792cf5_0,adnan,3,4,3,3,3,False,2025-12-07T23:58:19.806433
3ced077e_26,adnan,,,,,,True,2025-12-07T23:58:23.436320
c734fdb8_15,adnan,3,4,3,2,5,False,2025-12-07T23:59:03.964591
80753fc3_15,adnan,3,2,3,4,4,False,2025-12-07T23:59:47.795696
db2a1500_0,adnan,2,4,1,3,4,False,2025-12-08T00:00:19.372464
3663ffcf_1,adnan,2,2,3,5,3,False,2025-12-08T00:01:12.470028
aecb3945_61,adnan,3,4,3,3,4,False,2025-12-08T00:01:53.312792
5d37668b_31,adnan,3,2,3,5,5,False,2025-12-08T00:02:24.876494
d1a15fe5_5,adnan,4,2,3,4,4,False,2025-12-08T00:02:47.500730
ab1766ec_2,adnan,3,3,4,2,4,False,2025-12-08T00:03:16.416167
648d870e_5,adnan,3,2,4,4,4,False,2025-12-08T00:03:36.327224
fa454b35_19,adnan,2,2,2,2,3,False,2025-12-08T00:04:05.943237
3663ffcf_21,adnan,,,,,,True,2025-12-08T00:04:12.625118
