sample_id,user_id,overall,intonation,tone,timing,technique,rejected,timestamp
a5d5e961_4,adnan17,1,1,2,1,1,False,2025-12-17T18:48:57.393211
a5d5e961_3,adnan17,1,1,2,2,1,False,2025-12-17T18:49:20.734979
a5d5e961_2,adnan17,1,1,1,2,2,False,2025-12-17T18:49:50.513268
a5d5e961_1,adnan17,1,1,2,2,2,False,2025-12-17T18:50:18.004803
a5d5e961_0,adnan17,1,1,2,1,1,False,2025-12-17T18:50:38.960257
bb36f796_3,adnan17,1,2,1,2,1,False,2025-12-17T18:51:14.751613
bb36f796_2,adnan17,1,2,1,2,1,False,2025-12-17T18:51:31.695440
bb36f796_1,adnan17,1,2,2,2,1,False,2025-12-17T18:51:52.144641
bb36f796_0,adnan17,1,2,1,1,1,False,2025-12-17T18:52:04.665329
4adffe94_0,adnan17,1,2,1,3,2,False,2025-12-17T18:52:47.389279
54cc3e7c_5,adnan17,1,1,1,2,1,False,2025-12-17T18:53:05.716249
54cc3e7c_4,adnan17,1,2,2,1,1,False,2025-12-17T18:53:46.799151
54cc3e7c_3,adnan17,1,2,1,1,2,False,2025-12-17T18:54:06.684812
54cc3e7c_2,adnan17,1,1,1,1,1,False,2025-12-17T18:54:23.105321
54cc3e7c_1,adnan17,1,1,1,1,1,False,2025-12-17T18:54:42.145512
54cc3e7c_0,adnan17,2,2,1,2,2,False,2025-12-17T18:55:04.309469
3f97469c_0,adnan17,2,2,2,4,2,False,2025-12-17T18:55:29.186106
fa7f4981_3,adnan17,2,2,2,4,3,False,2025-12-17T18:55:58.321214
fa7f4981_2,adnan17,2,2,3,4,3,False,2025-12-17T18:56:22.503529
fa7f4981_1,adnan17,2,3,3,3,3,False,2025-12-17T18:56:45.600044
fa7f4981_0,adnan17,2,2,3,4,3,False,2025-12-17T18:57:11.775795
9fe9e677_9,adnan17,2,3,2,1,3,False,2025-12-17T18:57:52.802289
9fe9e677_8,adnan17,2,3,3,2,3,False,2025-12-17T18:58:29.973804
9fe9e677_7,adnan17,2,3,3,2,3,False,2025-12-17T18:58:50.159462
9fe9e677_6,adnan17,3,2,3,3,3,False,2025-12-17T18:59:20.525634
9fe9e677_5,adnan17,2,2,3,4,3,False,2025-12-17T19:00:02.161817
9fe9e677_4,adnan17,2,2,4,3,3,False,2025-12-17T19:00:43.745507
9fe9e677_3,adnan17,3,3,4,4,3,False,2025-12-17T19:01:15.489222
9fe9e677_2,adnan17,3,3,4,3,3,False,2025-12-17T19:01:40.187949
9fe9e677_1,adnan17,3,3,4,4,3,False,2025-12-17T19:02:01.085299
9fe9e677_0,adnan17,3,2,3,2,3,False,2025-12-17T19:02:26.442931
