sample_id,user_id,overall,intonation,tone,timing,technique,rejected,timestamp
7728d41e_7,unc,2,2,2,2,2,False,2025-12-08T20:47:34.210165
c734fdb8_6,unc,2,2,1,3,3,False,2025-12-08T20:48:11.175061
fa454b35_13,unc,2,1,1,3,2,False,2025-12-08T20:48:35.923555
8f355ec0_22,unc,1,3,1,3,1,False,2025-12-08T20:48:44.383323
c2da0567_2,unc,4,4,2,5,4,False,2025-12-08T20:48:58.476124
1c10e3b7_19,unc,,,,,,True,2025-12-08T20:49:15.730761
73c40361_21,unc,,,,,,True,2025-12-08T20:49:26.646916
c734fdb8_33,unc,,,,,,True,2025-12-08T20:49:43.827389
73c40361_9,unc,4,4,4,3,4,False,2025-12-08T20:49:54.484201
77dbaa3e_6,unc,,,,,,True,2025-12-08T20:49:58.466776
e2bf9fb4_8,unc,4,3,2,5,4,False,2025-12-08T20:49:58.560050
d134069e_22,unc,5,4,4,5,5,False,2025-12-08T20:50:35.270452
8f355ec0_1,unc,,,,,,True,2025-12-08T20:50:52.231179
8b993d14_18,unc,,,,,,True,2025-12-08T20:51:09.773497
ea7a0339_3,unc,2,2,1,4,3,False,2025-12-08T20:51:11.223597
4ca22ca1_3,unc,,,,,,True,2025-12-08T20:51:15.192684
337d1d8f_2,unc,,,,,,True,2025-12-08T20:51:24.746285
5d37668b_12,unc,4,3,4,3,4,False,2025-12-08T20:51:39.809928
648d870e_1,unc,,,,,,True,2025-12-08T20:51:47.033655
fcc7433b_4,unc,4,2,4,3,4,False,2025-12-08T20:52:19.285509
73c40361_2,unc,4,3,4,3,4,False,2025-12-08T20:52:30.977165
ab1766ec_1,unc,,,,,,True,2025-12-08T20:52:32.327504
3ced077e_14,unc,2,2,1,3,1,False,2025-12-08T20:52:54.191177
3ced077e_3,unc,2,2,2,4,4,False,2025-12-08T20:52:54.921237
16942b49_7,unc,,,,,,True,2025-12-08T20:53:05.130092
3ced077e_5,unc,,,,,,True,2025-12-08T20:53:21.100667
16942b49_6,unc,1,2,1,1,1,False,2025-12-08T20:53:59.689461
1c10e3b7_21,unc,2,2,3,3,2,False,2025-12-08T20:54:17.753125
103760c9_14,unc,4,4,4,5,5,False,2025-12-08T20:54:29.986156
103760c9_16,unc,2,2,3,1,2,False,2025-12-08T20:54:45.910894
8f355ec0_8,unc,2,2,2,4,4,False,2025-12-08T20:54:51.626790
77dbaa3e_9,unc,,,,,,True,2025-12-08T20:54:53.876170
3663ffcf_3,unc,4,4,5,3,4,False,2025-12-08T20:55:04.810053
d1a15fe5_0,unc,4,3,3,4,5,False,2025-12-08T20:55:26.520641
ea7a0339_4,unc,5,4,4,4,5,False,2025-12-08T20:55:45.864605
34bc6a86_3,unc,2,2,2,4,2,False,2025-12-08T20:55:48.285688
ea7a0339_10,unc,,,,,,True,2025-12-08T20:55:56.836522
c734fdb8_32,unc,,,,,,True,2025-12-08T20:56:03.297244
c734fdb8_44,unc,3,2,4,3,4,False,2025-12-08T20:56:04.912100
570eaa61_1,unc,,,,,,True,2025-12-08T20:56:06.726596
a84845ab_1,unc,4,4,4,4,5,False,2025-12-08T20:56:27.245292
6693dc70_8,unc,5,5,4,5,5,False,2025-12-08T20:56:50.401893
a16b4b27_2,unc,4,3,3,4,4,False,2025-12-08T20:57:12.375188
7728d41e_23,unc,,,,,,True,2025-12-08T20:57:14.468728
337d1d8f_0,unc,,,,,,True,2025-12-08T20:57:24.454886
fcc7433b_25,unc,,,,,,True,2025-12-08T20:57:33.517317
d134069e_5,unc,4,4,4,5,5,False,2025-12-08T20:58:22.662601
8f355ec0_7,unc,,,,,,True,2025-12-08T20:58:40.941049
4ca22ca1_13,unc,3,2,2,4,5,False,2025-12-08T20:59:03.033358
ea3c8639_9,unc,3,4,2,5,3,False,2025-12-08T20:59:03.949756
8ab19718_9,unc,2,2,2,2,4,False,2025-12-08T20:59:32.156761
570eaa61_9,unc,4,4,3,4,4,False,2025-12-08T21:00:28.392896
aecb3945_46,unc,3,2,3,3,2,False,2025-12-08T21:01:29.294609
05c9b2c6_1,unc,3,3,2,4,4,False,2025-12-08T21:01:37.665508
3663ffcf_15,unc,,,,,,True,2025-12-08T21:01:48.668180
103760c9_37,unc,4,4,4,3,3,False,2025-12-08T21:02:07.820565
3ced077e_8,unc,,,,,,True,2025-12-08T21:02:22.258538
337d1d8f_11,unc,,,,,,True,2025-12-08T21:02:42.286814
ea7a0339_2,unc,3,2,3,5,3,False,2025-12-08T21:02:50.493656
c734fdb8_35,unc,,,,,,True,2025-12-08T21:02:55.953862
ee8120e7_2,unc,1,2,1,2,2,False,2025-12-08T21:03:20.750662
eaa19055_2,unc,3,5,4,5,4,False,2025-12-08T21:04:29.336725
77dbaa3e_13,unc,3,4,2,5,4,False,2025-12-08T21:05:34.874709
a5d5e961_0,unc,2,2,2,2,1,False,2025-12-08T21:05:49.411387
3ea977b6_7,unc,4,4,5,4,5,False,2025-12-08T21:05:52.085435
f7e17973_0,unc,1,1,1,1,2,False,2025-12-08T21:06:10.154658
5d37668b_32,unc,3,2,4,4,4,False,2025-12-08T21:06:13.077660
16942b49_17,unc,,,,,,True,2025-12-08T21:06:16.963621
34bc6a86_0,unc,,,,,,True,2025-12-08T21:06:32.693852
648d870e_8,unc,3,3,4,5,4,False,2025-12-08T21:06:38.555318
aecb3945_35,unc,,,,,,True,2025-12-08T21:06:50.129906
98c36515_1,unc,3,3,3,4,2,False,2025-12-08T21:07:08.767085
ea7a0339_25,unc,4,3,2,3,3,False,2025-12-08T21:07:14.087631
a9a9082e_3,unc,4,4,3,5,4,False,2025-12-08T21:07:30.387627
476d6fc7_3,unc,5,3,4,4,5,False,2025-12-08T21:07:41.126201
648d870e_3,unc,2,2,3,4,3,False,2025-12-08T21:08:04.376896
e2bf9fb4_30,unc,,,,,,True,2025-12-08T21:08:07.512443
5d37668b_9,unc,4,4,3,4,4,False,2025-12-08T21:08:10.216599
cf94ced3_7,unc,,,,,,True,2025-12-08T21:08:14.641035
3663ffcf_6,unc,,,,,,True,2025-12-08T21:08:18.248906
ea3c8639_6,unc,,,,,,True,2025-12-08T21:08:34.757519
73c40361_1,unc,5,4,5,5,4,False,2025-12-08T21:08:37.679714
a16b4b27_3,unc,4,3,4,4,4,False,2025-12-08T21:09:34.927844
c734fdb8_39,unc,,,,,,True,2025-12-08T21:09:37.029821
5d37668b_17,unc,,,,,,True,2025-12-08T21:09:51.290272
80753fc3_24,unc,3,5,4,5,5,False,2025-12-08T21:09:55.951604
8b993d14_17,unc,,,,,,True,2025-12-08T21:09:58.945676
05c9b2c6_8,unc,3,4,3,4,4,False,2025-12-08T21:10:15.410596
8ab19718_2,unc,2,2,2,1,2,False,2025-12-08T21:10:18.862552
fa7f4981_1,unc,4,2,3,4,4,False,2025-12-08T21:10:37.987574
488ea46a_0,unc,3,3,4,3,2,False,2025-12-08T21:10:52.324427
103760c9_7,unc,5,4,4,5,5,False,2025-12-08T21:11:07.838671
f7e17973_1,unc,2,2,2,2,2,False,2025-12-08T21:11:19.931254
4d3a9839_0,unc,1,1,1,2,1,False,2025-12-08T21:11:31.452304
be634a7c_21,unc,,,,,,True,2025-12-08T21:11:42.194165
3ced077e_28,unc,,,,,,True,2025-12-08T21:11:44.702901
7f4d9046_6,unc,3,2,3,5,3,False,2025-12-08T21:11:50.199791
a16b4b27_11,unc,,,,,,True,2025-12-08T21:11:55.190160
13db7043_0,unc,,,,,,True,2025-12-08T21:11:57.904597
fcc7433b_24,unc,,,,,,True,2025-12-08T21:12:03.190143
8ab19718_1,unc,2,2,3,5,3,False,2025-12-08T21:12:13.888975
488ea46a_1,unc,4,4,3,4,3,False,2025-12-08T21:12:22.608046
a16b4b27_0,unc,2,3,2,4,2,False,2025-12-08T21:12:47.804862
103760c9_0,unc,5,5,5,5,5,False,2025-12-08T21:12:49.546863
7f4d9046_11,unc,,,,,,True,2025-12-08T21:12:54.586647
3ea977b6_0,unc,4,5,4,4,3,False,2025-12-08T21:13:17.702181
c734fdb8_40,unc,2,3,4,4,2,False,2025-12-08T21:15:15.586652
16942b49_23,unc,,,,,,True,2025-12-08T21:15:21.294764
be634a7c_13,unc,2,2,3,3,3,False,2025-12-08T23:55:27.858371
56ab2455_1,unc,1,1,1,1,1,False,2025-12-08T23:55:58.472247
4ca22ca1_8,unc,4,4,4,5,4,False,2025-12-08T23:56:07.498029
73c40361_5,unc,2,2,3,3,2,False,2025-12-08T23:56:15.821810
c734fdb8_24,unc,,,,,,True,2025-12-08T23:56:17.213158
6693dc70_1,unc,,,,,,True,2025-12-08T23:56:18.053775
502c008f_0,unc,4,3,4,4,5,False,2025-12-08T23:56:41.782140
77dbaa3e_14,unc,3,3,3,5,2,False,2025-12-08T23:56:59.857004
337d1d8f_13,unc,,,,,,True,2025-12-08T23:57:02.701324
96920d9d_0,unc,5,4,5,5,5,False,2025-12-08T23:57:03.246269
7f4d9046_17,unc,2,2,2,1,1,False,2025-12-08T23:57:22.905925
8b993d14_4,unc,,,,,,True,2025-12-08T23:57:25.950721
6a09e010_17,unc,1,2,1,1,1,False,2025-12-08T23:57:27.232904
499e4ffc_3,unc,3,2,4,4,4,False,2025-12-08T23:57:48.021905
8f355ec0_0,unc,3,2,2,2,4,False,2025-12-08T23:58:10.509782
3ea977b6_14,unc,,,,,,True,2025-12-08T23:58:14.850521
6693dc70_3,unc,4,4,4,4,5,False,2025-12-08T23:58:22.917771
a16b4b27_8,unc,5,5,5,5,5,False,2025-12-08T23:58:35.532367
77dbaa3e_22,unc,,,,,,True,2025-12-08T23:58:38.104261
7f4d9046_4,unc,,,,,,True,2025-12-08T23:58:41.458861
8447dad3_18,unc,,,,,,True,2025-12-08T23:58:43.734649
80753fc3_22,unc,4,3,3,5,4,False,2025-12-08T23:58:55.642445
476d6fc7_2,unc,3,2,4,4,3,False,2025-12-08T23:59:15.430038
3ced077e_9,unc,2,2,4,5,3,False,2025-12-08T23:59:15.856729
fcc7433b_12,unc,,,,,,True,2025-12-08T23:59:28.362361
103760c9_21,unc,1,1,1,2,1,False,2025-12-08T23:59:43.593203
8b993d14_21,unc,4,3,5,5,5,False,2025-12-08T23:59:59.478585
8000ae14_0,unc,5,5,4,5,5,False,2025-12-09T00:00:04.455661
b69fa6c8_0,unc,5,5,4,5,5,False,2025-12-09T00:00:19.667869
c2da0567_0,unc,,,,,,True,2025-12-09T00:00:21.851118
16942b49_11,unc,4,3,3,4,4,False,2025-12-09T00:00:32.192415
80753fc3_15,unc,2,2,3,2,2,False,2025-12-09T00:00:47.499349
cf94ced3_14,unc,4,4,5,4,3,False,2025-12-09T00:01:00.235386
5f792cf5_4,unc,4,5,3,5,4,False,2025-12-09T00:01:23.768630
fcc7433b_21,unc,2,1,2,2,2,False,2025-12-09T00:01:27.250696
499e4ffc_27,unc,,,,,,True,2025-12-09T00:01:34.943807
fa454b35_2,unc,,,,,,True,2025-12-09T00:01:37.102642
5d37668b_16,unc,3,2,3,4,5,False,2025-12-09T00:01:51.005364
6693dc70_9,unc,3,2,4,5,5,False,2025-12-09T00:02:08.850494
103760c9_42,unc,4,5,4,3,4,False,2025-12-09T00:02:10.753274
cf94ced3_0,unc,,,,,,True,2025-12-09T00:02:12.938423
570eaa61_6,unc,1,2,1,1,1,False,2025-12-09T00:02:29.670118
c734fdb8_12,unc,,,,,,True,2025-12-09T00:02:51.857347
c2da0567_1,unc,,,,,,True,2025-12-09T00:03:01.539441
80753fc3_12,unc,3,3,5,4,3,False,2025-12-09T00:03:12.248779
e2bf9fb4_21,unc,4,3,4,4,5,False,2025-12-09T00:03:27.338518
8f355ec0_24,unc,4,4,4,3,3,False,2025-12-09T00:03:42.717657
1c10e3b7_11,unc,3,2,3,4,3,False,2025-12-09T00:04:07.724122
ea7a0339_17,unc,,,,,,True,2025-12-09T00:04:16.490370
3663ffcf_13,unc,,,,,,True,2025-12-09T00:05:57.236035
5d37668b_8,unc,,,,,,True,2025-12-09T00:06:02.951365
77dbaa3e_20,unc,4,3,5,4,4,False,2025-12-09T00:08:42.714827
5f792cf5_0,unc,3,4,4,3,4,False,2025-12-09T00:10:24.826134
103760c9_8,unc,4,5,3,4,4,False,2025-12-09T00:12:06.390771
98c36515_0,unc,2,2,2,2,2,False,2025-12-09T00:12:48.391774
8447dad3_14,unc,3,4,4,3,2,False,2025-12-09T00:13:19.352205
5f792cf5_3,unc,3,3,4,4,4,False,2025-12-09T00:14:10.428570
7f4d9046_0,unc,2,1,1,2,4,False,2025-12-09T00:14:32.444343
e2bf9fb4_26,unc,2,4,1,4,3,False,2025-12-09T00:16:27.644534
e1a1909a_2,unc,4,2,4,4,4,False,2025-12-09T00:17:08.248806
73c40361_4,unc,,,,,,True,2025-12-09T00:17:12.914386
8447dad3_8,unc,4,4,4,3,4,False,2025-12-09T00:17:35.051424
648d870e_0,unc,4,4,2,4,4,False,2025-12-09T00:18:32.807751
