id,path,overall,intonation,tone,timing,technique,is_valid
05c9b2c6_1,data/audio/05c9b2c6_1.wav,3,3,2,4,4,1
05c9b2c6_4,data/audio/05c9b2c6_4.wav,2,2,2,1,1,1
05c9b2c6_7,data/audio/05c9b2c6_7.wav,3,2,3,5,2,1
05c9b2c6_8,data/audio/05c9b2c6_8.wav,3,4,3,4,4,1
0af7df9b_0,data/audio/0af7df9b_0.wav,5,5,5,4,4,1
0af7df9b_10,data/audio/0af7df9b_10.wav,3,4,4,3,4,1
0af7df9b_17,data/audio/0af7df9b_17.wav,2,3,2,1,1,1
0af7df9b_4,data/audio/0af7df9b_4.wav,2,4,4,4,2,1
103760c9_0,data/audio/103760c9_0.wav,5,5,5,5,5,1
103760c9_10,data/audio/103760c9_10.wav,4,4,5,5,4,1
103760c9_12,data/audio/103760c9_12.wav,3,3,3,3,3,1
103760c9_14,data/audio/103760c9_14.wav,4,4,4,5,5,1
103760c9_16,data/audio/103760c9_16.wav,2,2,3,1,2,1
103760c9_18,data/audio/103760c9_18.wav,3,4,4,3,3,1
103760c9_21,data/audio/103760c9_21.wav,1,1,1,2,1,1
103760c9_37,data/audio/103760c9_37.wav,4,4,4,3,3,1
103760c9_42,data/audio/103760c9_42.wav,4,5,4,3,4,1
103760c9_7,data/audio/103760c9_7.wav,5,4,4,5,5,1
103760c9_8,data/audio/103760c9_8.wav,4,5,3,4,4,1
1051913f_1,data/audio/1051913f_1.wav,5,5,5,4,5,1
13db7043_3,data/audio/13db7043_3.wav,3,4,4,2,3,1
13db7043_5,data/audio/13db7043_5.wav,3,4,4,3,3,1
13db7043_6,data/audio/13db7043_6.wav,3,4,4,2,4,1
16942b49_10,data/audio/16942b49_10.wav,2,2,4,4,3,1
16942b49_11,data/audio/16942b49_11.wav,4,3,3,4,4,1
16942b49_15,data/audio/16942b49_15.wav,3,3,3,3,3,1
16942b49_26,data/audio/16942b49_26.wav,4,3,3,4,5,1
16942b49_6,data/audio/16942b49_6.wav,1,2,1,1,1,1
16942b49_7,data/audio/16942b49_7.wav,3,2,3,2,2,1
1c10e3b7_11,data/audio/1c10e3b7_11.wav,3,2,3,4,3,1
1c10e3b7_13,data/audio/1c10e3b7_13.wav,3,4,3,2,2,1
1c10e3b7_21,data/audio/1c10e3b7_21.wav,3,3,4,3,2,1
337d1d8f_1,data/audio/337d1d8f_1.wav,4,4,5,4,4,1
337d1d8f_11,data/audio/337d1d8f_11.wav,4,4,4,4,4,1
337d1d8f_18,data/audio/337d1d8f_18.wav,3,4,4,2,4,1
34bc6a86_3,data/audio/34bc6a86_3.wav,2,2,2,4,2,1
3663ffcf_3,data/audio/3663ffcf_3.wav,4,4,5,3,4,1
3ced077e_14,data/audio/3ced077e_14.wav,2,2,1,3,1,1
3ced077e_3,data/audio/3ced077e_3.wav,2,2,2,4,4,1
3ced077e_9,data/audio/3ced077e_9.wav,2,2,4,5,3,1
