id,path,overall,intonation,tone,timing,technique,is_valid
0af7df9b_10,data/audio/0af7df9b_10.wav,3,4,4,3,4,1
103760c9_0,data/audio/103760c9_0.wav,5,5,5,5,5,1
103760c9_14,data/audio/103760c9_14.wav,4,4,4,5,5,1
103760c9_16,data/audio/103760c9_16.wav,2,2,3,1,2,1
103760c9_21,data/audio/103760c9_21.wav,1,1,1,2,1,1
103760c9_37,data/audio/103760c9_37.wav,4,4,4,3,3,1
103760c9_42,data/audio/103760c9_42.wav,4,5,4,3,4,1
103760c9_7,data/audio/103760c9_7.wav,5,4,4,5,5,1
103760c9_8,data/audio/103760c9_8.wav,4,5,3,4,4,1
13db7043_7,data/audio/13db7043_7.wav,3,3,3,3,3,1
16942b49_10,data/audio/16942b49_10.wav,2,2,4,4,3,1
16942b49_11,data/audio/16942b49_11.wav,4,3,3,4,4,1
16942b49_15,data/audio/16942b49_15.wav,3,3,3,3,3,1
16942b49_26,data/audio/16942b49_26.wav,4,3,3,4,5,1
16942b49_6,data/audio/16942b49_6.wav,1,2,1,1,1,1
16942b49_7,data/audio/16942b49_7.wav,3,2,3,2,2,1
34bc6a86_3,data/audio/34bc6a86_3.wav,2,2,2,4,2,1
3663ffcf_3,data/audio/3663ffcf_3.wav,4,4,5,3,4,1
3ced077e_14,data/audio/3ced077e_14.wav,2,2,1,3,1,1
3ced077e_3,data/audio/3ced077e_3.wav,2,2,2,4,4,1
3ced077e_9,data/audio/3ced077e_9.wav,2,2,4,5,3,1
476d6fc7_2,data/audio/476d6fc7_2.wav,3,2,4,4,3,1
476d6fc7_3,data/audio/476d6fc7_3.wav,5,3,4,4,5,1
488ea46a_0,data/audio/488ea46a_0.wav,3,3,4,3,2,1
488ea46a_1,data/audio/488ea46a_1.wav,4,4,3,4,3,1
4ca22ca1_13,data/audio/4ca22ca1_13.wav,3,2,2,4,5,1
4ca22ca1_17,data/audio/4ca22ca1_17.wav,2,2,3,3,3,1
4ca22ca1_23,data/audio/4ca22ca1_23.wav,3,3,3,5,3,1
4ca22ca1_8,data/audio/4ca22ca1_8.wav,4,4,4,5,4,1
4d3a9839_0,data/audio/4d3a9839_0.wav,1,1,1,2,1,1
4f38bc73_0,data/audio/4f38bc73_0.wav,3,2,2,3,3,1
56ab2455_1,data/audio/56ab2455_1.wav,1,1,1,1,1,1
570eaa61_6,data/audio/570eaa61_6.wav,1,2,1,1,1,1
570eaa61_9,data/audio/570eaa61_9.wav,4,4,3,4,4,1
5d37668b_12,data/audio/5d37668b_12.wav,4,3,4,3,4,1
5d37668b_14,data/audio/5d37668b_14.wav,4,2,4,5,3,1
5d37668b_16,data/audio/5d37668b_16.wav,3,2,3,4,5,1
5d37668b_32,data/audio/5d37668b_32.wav,3,2,4,4,4,1
5d37668b_9,data/audio/5d37668b_9.wav,4,4,3,4,4,1
5f792cf5_0,data/audio/5f792cf5_0.wav,3,4,4,3,4,1
5f792cf5_3,data/audio/5f792cf5_3.wav,3,3,4,4,4,1
5f792cf5_4,data/audio/5f792cf5_4.wav,4,5,3,5,4,1
648d870e_0,data/audio/648d870e_0.wav,4,4,2,4,4,1
648d870e_3,data/audio/648d870e_3.wav,2,2,3,4,3,1
648d870e_5,data/audio/648d870e_5.wav,4,3,5,5,4,1
