id,video_id,path,overall,intonation,tone,timing,technique,chunk_start,chunk_end,url
d1a15fe5_0,d1a15fe5,audio/d1a15fe5_0.wav,,,,,,0.0,20.0,https://www.youtube.com/watch?v=9ECUGstamCg
d1a15fe5_1,d1a15fe5,audio/d1a15fe5_1.wav,,,,,,20.0,40.0,https://www.youtube.com/watch?v=9ECUGstamCg
d1a15fe5_2,d1a15fe5,audio/d1a15fe5_2.wav,,,,,,40.0,60.0,https://www.youtube.com/watch?v=9ECUGstamCg
d1a15fe5_3,d1a15fe5,audio/d1a15fe5_3.wav,,,,,,60.0,80.0,https://www.youtube.com/watch?v=9ECUGstamCg
d1a15fe5_4,d1a15fe5,audio/d1a15fe5_4.wav,,,,,,80.0,100.0,https://www.youtube.com/watch?v=9ECUGstamCg
d1a15fe5_5,d1a15fe5,audio/d1a15fe5_5.wav,,,,,,100.0,120.0,https://www.youtube.com/watch?v=9ECUGstamCg
d1a15fe5_6,d1a15fe5,audio/d1a15fe5_6.wav,,,,,,120.0,140.0,https://www.youtube.com/watch?v=9ECUGstamCg
d1a15fe5_7,d1a15fe5,audio/d1a15fe5_7.wav,,,,,,140.0,160.0,https://www.youtube.com/watch?v=9ECUGstamCg
d1a15fe5_8,d1a15fe5,audio/d1a15fe5_8.wav,,,,,,160.0,180.0,https://www.youtube.com/watch?v=9ECUGstamCg
dc88cb7f_0,dc88cb7f,audio/dc88cb7f_0.wav,,,,,,0.0,15.6,https://www.youtube.com/watch?v=iIpn-OUq5QY&list=PLelNtvee8wkpgCXejzHOp0rhsV4IRed7j&index=1&pp=iAQB
0af7df9b_0,0af7df9b,audio/0af7df9b_0.wav,,,,,,0.0,20.0,https://www.youtube.com/watch?v=SaNoXU-XGKw
0af7df9b_1,0af7df9b,audio/0af7df9b_1.wav,,,,,,20.0,40.0,https://www.youtube.com/watch?v=SaNoXU-XGKw
0af7df9b_2,0af7df9b,audio/0af7df9b_2.wav,,,,,,40.0,60.0,https://www.youtube.com/watch?v=SaNoXU-XGKw
0af7df9b_3,0af7df9b,audio/0af7df9b_3.wav,,,,,,60.0,80.0,https://www.youtube.com/watch?v=SaNoXU-XGKw
0af7df9b_4,0af7df9b,audio/0af7df9b_4.wav,,,,,,80.0,100.0,https://www.youtube.com/watch?v=SaNoXU-XGKw
0af7df9b_5,0af7df9b,audio/0af7df9b_5.wav,,,,,,100.0,120.0,https://www.youtube.com/watch?v=SaNoXU-XGKw
0af7df9b_6,0af7df9b,audio/0af7df9b_6.wav,,,,,,120.0,140.0,https://www.youtube.com/watch?v=SaNoXU-XGKw
0af7df9b_7,0af7df9b,audio/0af7df9b_7.wav,,,,,,140.0,160.0,https://www.youtube.com/watch?v=SaNoXU-XGKw
0af7df9b_8,0af7df9b,audio/0af7df9b_8.wav,,,,,,160.0,180.0,https://www.youtube.com/watch?v=SaNoXU-XGKw
0af7df9b_9,0af7df9b,audio/0af7df9b_9.wav,,,,,,180.0,200.0,https://www.youtube.com/watch?v=SaNoXU-XGKw
